"date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","street","city","statezip","country"
"2014-06-03 00:00:00",5e+05,3,1.75,1620,4200,1,0,0,5,830,790,1945,0,"6209 40th Ave NE","Seattle","WA 98115","USA"
"2014-07-08 00:00:00",1087500,2,2,2360,11340,1.5,0,0,3,2360,0,1997,0,"3063-3103 84th Ave SE","Mercer Island","WA 98040","USA"
"2014-06-24 00:00:00",3e+05,2,1,750,5120,1,0,0,4,750,0,1941,1998,"7920 34th Ave SW","Seattle","WA 98126","USA"
"2014-05-07 00:00:00",480500,4,2.5,2180,11200,1,0,0,4,2180,0,1968,0,"18911 NE 165th Pl","Woodinville","WA 98072","USA"
"2014-05-30 00:00:00",168000,2,1.5,1220,3568,1.5,0,0,4,1220,0,1976,1992,"24709 13th Ave S","Des Moines","WA 98198","USA"
"2014-05-08 00:00:00",295000,3,2.5,1920,7229,2,0,0,3,1920,0,1993,0,"1914 S 375th St","Federal Way","WA 98003","USA"
"2014-05-11 00:00:00",842500,4,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0,"906 17th Ave","Seattle","WA 98122","USA"
"2014-07-07 00:00:00",215000,3,1,960,9563,1,0,0,5,960,0,1967,0,"1625 SW 351st St","Federal Way","WA 98023","USA"
"2014-06-02 00:00:00",1250000,5,3.25,3160,13238,2,0,0,5,3160,0,1972,0,"7325 86th Ave SE","Mercer Island","WA 98040","USA"
"2014-07-09 00:00:00",679000,4,2.75,2100,4480,1.5,0,0,4,1780,320,1928,0,"5519 31st Ave NE","Seattle","WA 98105","USA"
"2014-07-08 00:00:00",370000,3,1.75,1570,16817,2,0,0,3,1570,0,1982,0,"43719 SE 142nd St","North Bend","WA 98045","USA"
"2014-06-17 00:00:00",465000,2,2,1494,19271,2,1,4,3,1494,0,1943,1997,"12533 SW 148th St","Vashon","WA 98070","USA"
"2014-05-07 00:00:00",540000,7,5.75,3700,7647,2,0,1,3,3700,0,1948,1984,"15007-15299 37th Ave NE","Lake Forest Park","WA 98155","USA"
"2014-05-08 00:00:00",245000,3,1.5,1260,7964,1,0,0,4,1260,0,1955,2009,"168 S 192nd Pl","Des Moines","WA 98148","USA"
"2014-05-13 00:00:00",455000,4,2.5,3360,7685,2,0,0,3,3360,0,2001,0,"18416 172nd Ct SE","Renton","WA 98058","USA"
"2014-06-23 00:00:00",420000,3,2,1200,5029,1,0,0,3,880,320,1937,1999,"3049 NE 90th St","Seattle","WA 98115","USA"
"2014-05-20 00:00:00",494000,4,1.75,2090,4300,1.5,0,0,4,1250,840,1925,1968,"5011 SW Dawson St","Seattle","WA 98136","USA"
"2014-06-25 00:00:00",650000,4,2.75,1910,16532,1,0,0,4,1420,490,1940,2001,"9025 26th Ave NW","Seattle","WA 98117","USA"
"2014-05-02 00:00:00",698000,4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,"1036 4th St","Kirkland","WA 98033","USA"
"2014-05-21 00:00:00",712000,4,2.5,3400,247421,2,0,0,3,3400,0,2001,0,"27728 SE 268th St","Ravensdale","WA 98051","USA"
"2014-07-09 00:00:00",486000,4,2.5,3560,12047,2,0,0,3,3560,0,1988,2000,"509 SW 335th St","Federal Way","WA 98023","USA"
"2014-06-04 00:00:00",685000,4,2.5,2770,45514,2,0,0,4,2770,0,1989,0,"18630 NE 202nd St","Woodinville","WA 98077","USA"
"2014-05-05 00:00:00",329950,2,1,1140,5250,1.5,0,0,4,1140,0,1949,1985,"14017 Roslyn Pl N","Seattle","WA 98133","USA"
"2014-07-07 00:00:00",296475,3,2.5,1520,4170,2,0,0,3,1520,0,2004,2003,"24312 226th Ave SE","Maple Valley","WA 98038","USA"
"2014-07-09 00:00:00",335500,3,1,1370,6780,2,0,0,3,1370,0,1930,1997,"12008 35th Ave NE","Seattle","WA 98125","USA"
"2014-07-09 00:00:00",275000,4,2,2030,8426,2,0,0,3,2030,0,1944,0,"3515 S 137th St","Tukwila","WA 98168","USA"
"2014-06-25 00:00:00",270000,2,1,2060,8398,1,0,0,3,1260,800,1962,2003,"10447 8th Ave S","Seattle","WA 98168","USA"
"2014-06-05 00:00:00",547000,3,2.5,1480,8381,1,0,0,4,1480,0,1968,0,"10746 38th Ave NE","Seattle","WA 98125","USA"
"2014-06-26 00:00:00",420000,3,1.75,1444,249126,1.5,0,0,3,1444,0,2008,0,"21700-21712 119th Ave SW","Vashon","WA 98070","USA"
"2014-06-10 00:00:00",750000,5,3.25,2750,7500,2,0,1,3,2150,600,1937,1997,"10237 NE 64th St","Kirkland","WA 98033","USA"
"2014-07-08 00:00:00",950000,3,2.5,3480,7800,1,0,0,4,1750,1730,1941,1998,"10323 Valmay Ave NW","Seattle","WA 98177","USA"
"2014-06-17 00:00:00",605000,3,2.25,2010,10760,2,0,0,3,2010,0,1985,0,"14150 176th Ave NE","Redmond","WA 98052","USA"
"2014-05-21 00:00:00",619420,4,2.75,2450,14803,2,0,0,4,2450,0,1988,0,"8537 135th Ave SE","Newcastle","WA 98059","USA"
"2014-06-20 00:00:00",482500,4,3,1630,7626,1,0,0,5,1110,520,1990,0,"12033 20th Ave NE","Seattle","WA 98125","USA"
"2014-06-03 00:00:00",223000,3,1,1030,9120,1,0,0,3,1030,0,1961,2004,"26825 33rd Ave S","Kent","WA 98032","USA"
"2014-06-05 00:00:00",268500,4,2.5,2100,4237,2,0,0,3,2100,0,2006,0,"12519 SE 236th Pl","Kent","WA 98031","USA"
"2014-05-02 00:00:00",365000,3,1,1090,6435,1,0,0,4,1090,0,1955,2009,"2504 SW Portland Ct","Seattle","WA 98106","USA"
"2014-06-11 00:00:00",371500,3,2,1370,8336,1,0,0,5,1370,0,1964,0,"2320 N 161st St","Shoreline","WA 98133","USA"
"2014-06-19 00:00:00",450000,3,1.75,1610,11200,1,0,0,3,1610,0,1955,2005,"12234 NE 65th St","Kirkland","WA 98033","USA"
"2014-06-13 00:00:00",538000,3,1,1460,7200,1,0,0,3,1260,200,1906,2014,"8018 Wallingford Ave N","Seattle","WA 98103","USA"
"2014-05-27 00:00:00",585000,3,1.75,1850,7735,1,0,0,4,1850,0,1983,0,"4640 193rd Ave SE","Issaquah","WA 98027","USA"
"2014-05-28 00:00:00",282508.888889,3,1,1180,5002,1.5,0,0,3,1180,0,1946,0,"17022 5th Ave NE","Shoreline","WA 98155","USA"
"2014-05-22 00:00:00",635700,4,2.5,3240,13978,1,0,0,3,1860,1380,1977,2004,"2069 211th Ave NE","Sammamish","WA 98074","USA"
"2014-05-21 00:00:00",6e+05,3,2.25,2230,9053,2,0,0,4,2230,0,1987,0,"5718 147th Ave NE","Bellevue","WA 98007","USA"
"2014-07-05 00:00:00",499000,3,2.5,1540,1326,3,0,0,3,1390,150,1995,0,"2841 13th Ave W","Seattle","WA 98119","USA"
"2014-06-27 00:00:00",641000,4,2.5,2770,63118,2,0,0,3,2770,0,1997,0,"6338 284th Way NE","Carnation","WA 98014","USA"
"2014-07-07 00:00:00",320000,3,1,1120,10576,1,0,0,4,1120,0,1969,0,"17722 199th Ave NE","Woodinville","WA 98077","USA"
"2014-06-18 00:00:00",855000,4,2.25,2190,4080,2,0,0,3,1800,390,1918,0,"2536 1st Ave W","Seattle","WA 98119","USA"
"2014-06-02 00:00:00",985000,3,1.75,1670,5400,2,0,0,5,1670,0,1912,0,"1808 38th Ave E","Seattle","WA 98112","USA"
"2014-06-09 00:00:00",255000,2,1,1200,9000,1,0,2,5,1200,0,1917,0,"22018 8th Pl S","Des Moines","WA 98198","USA"
"2014-05-27 00:00:00",480000,3,1,1150,4945,1,0,2,3,1150,0,1943,2002,"4103 37th Ave SW","Seattle","WA 98126","USA"
"2014-06-20 00:00:00",175000,2,1,1020,5130,1,0,0,4,1020,0,1948,0,"214 7th St SE","Auburn","WA 98002","USA"
"2014-06-11 00:00:00",813000,4,2.75,3370,6675,1,0,3,4,1920,1450,1948,0,"1501 33rd Ave S","Seattle","WA 98144","USA"
"2014-05-14 00:00:00",802000,3,2.5,2580,13096,2,0,0,3,2580,0,1986,0,"6133 147th Pl NE","Redmond","WA 98052","USA"
"2014-06-09 00:00:00",367300,4,2.75,2190,14937,2,0,0,3,2190,0,1993,0,"4816 S 277th Pl","Auburn","WA 98001","USA"
"2014-07-09 00:00:00",610000,3,2.5,2630,5827,2,0,0,3,2630,0,2001,0,"9954 227th Way NE","Redmond","WA 98053","USA"
"2014-05-29 00:00:00",750500,5,3,2170,2440,1.5,0,0,4,1450,720,1911,1966,"1006 NE Ravenna Blvd","Seattle","WA 98105","USA"
"2014-05-09 00:00:00",536000,3,1.75,1300,5413,1.5,0,0,3,1300,0,1925,1992,"9610 8th Ave NE","Seattle","WA 98115","USA"
"2014-05-09 00:00:00",769900,4,3.5,2730,3047,2,0,0,3,2400,330,2006,0,"2653 46th Ave SW","Seattle","WA 98116","USA"
"2014-06-25 00:00:00",804100,4,2.5,3070,8086,2,0,0,3,3070,0,2005,0,"6908 135th Pl SE","Newcastle","WA 98059","USA"
"2014-06-03 00:00:00",449500,5,2.75,2040,7488,1,0,0,4,1200,840,1969,0,"12610 NE 142nd St","Kirkland","WA 98034","USA"
"2014-07-09 00:00:00",306000,3,1,1450,7200,1,0,0,3,1010,440,1969,2010,"10606 NE 143rd Pl","Kirkland","WA 98034","USA"
"2014-07-02 00:00:00",660500,5,2.5,2950,5500,1.5,0,0,5,1720,1230,1918,0,"2739 31st Ave S","Seattle","WA 98144","USA"
"2014-06-26 00:00:00",518500,3,3.5,1590,1102,3,0,0,3,1590,0,2010,0,"769 N 74th St","Seattle","WA 98103","USA"
"2014-05-19 00:00:00",373000,3,2.5,1670,3565,2,0,0,3,1670,0,1999,0,"18581 134th Pl NE","Woodinville","WA 98072","USA"
"2014-06-17 00:00:00",430000,3,2,1730,9000,1,0,0,3,1370,360,1978,0,"975-1005 Greenwood Blvd SW","Issaquah","WA 98027","USA"
"2014-06-12 00:00:00",370000,2,1,1220,17172,1,0,0,4,1220,0,1947,1988,"13314 NE 104th St","Kirkland","WA 98033","USA"
"2014-05-22 00:00:00",385000,3,1,1250,7300,1,0,0,4,1250,0,1956,0,"16204 SE 8th St","Bellevue","WA 98008","USA"
"2014-05-28 00:00:00",225000,3,2,2030,24829,1,0,0,4,1220,810,1979,0,"36721 34th Ave S","Auburn","WA 98001","USA"
"2014-07-08 00:00:00",325000,2,1,800,7260,1,0,0,3,800,0,1953,0,"7354 27th Ave SW","Seattle","WA 98126","USA"
"2014-06-02 00:00:00",391000,3,2.25,1410,1290,2,0,0,3,1290,120,2004,2003,"2134 NW Boulder Way Dr","Issaquah","WA 98027","USA"
"2014-06-26 00:00:00",667000,3,1.75,3320,478288,1.5,0,3,4,2260,1060,1933,1982,"40201 292nd Ave SE","Enumclaw","WA 98022","USA"
"2014-07-02 00:00:00",475000,4,2.75,2620,6178,2,0,0,3,2620,0,2013,1923,"996 SE 12th St","North Bend","WA 98045","USA"
"2014-06-17 00:00:00",206000,3,1,1320,7000,1,0,0,4,1320,0,1967,0,"1812 33rd St SE","Auburn","WA 98002","USA"
"2014-05-12 00:00:00",360000,4,2,1730,5500,1,0,0,5,1010,720,1943,0,"7953 14th Ave SW","Seattle","WA 98106","USA"
"2014-05-24 00:00:00",496700,3,2.5,1740,5782,2,0,0,4,1740,0,1989,0,"3512 253rd Ct SE","Issaquah","WA 98029","USA"
"2014-06-27 00:00:00",255000,3,2.5,1720,6194,2,0,0,3,1720,0,1998,2006,"5130 Francis Ct SE","Auburn","WA 98092","USA"
"2014-06-19 00:00:00",464000,3,1,1320,3625,2,0,0,3,1320,0,1900,2005,"316 35th Ave","Seattle","WA 98122","USA"
"2014-06-03 00:00:00",437000,5,2,2120,137565,1.5,0,0,3,2120,0,1913,1983,"16633 Westside Hwy SW","Vashon","WA 98070","USA"
"2014-05-22 00:00:00",320000,3,2,1110,10500,1,0,0,5,1110,0,1978,0,"17040 426th Ave SE","North Bend","WA 98045","USA"
"2014-07-02 00:00:00",250000,3,1.75,1200,24805,1,0,0,3,1200,0,1984,0,"10858 SE 200th St","Kent","WA 98031","USA"
"2014-06-27 00:00:00",710000,3,2.5,2440,4153,2,0,0,3,2440,0,2003,0,"6625 188th Pl NE","Redmond","WA 98052","USA"
"2014-06-26 00:00:00",230000,3,1,1060,9946,1,0,0,4,1060,0,1956,0,"17736 41st Ave S","SeaTac","WA 98188","USA"
"2014-05-09 00:00:00",387000,3,2.25,1445,1606,2,0,0,3,1300,145,2003,0,"206-458 Lingering Pine Dr NW","Issaquah","WA 98027","USA"
"2014-05-28 00:00:00",325000,2,2.5,1050,1609,2,0,0,3,1050,0,2005,0,"1505 S Plum St","Seattle","WA 98144","USA"
"2014-06-20 00:00:00",1462497,5,3.25,3840,4800,3,0,3,3,2750,1090,2008,0,"1116 33rd Ave S","Seattle","WA 98144","USA"
"2014-05-14 00:00:00",470000,4,2.5,2310,14023,2,0,0,3,2310,0,1991,0,"14923 280th Pl NE","Duvall","WA 98019","USA"
"2014-07-01 00:00:00",695000,3,2,2500,4080,1.5,0,0,5,1680,820,1922,1956,"922 N 72nd St","Seattle","WA 98103","USA"
"2014-05-08 00:00:00",660000,3,1.75,1320,5750,1.5,0,0,5,1320,0,1918,0,"2121 46th Ave SW","Seattle","WA 98116","USA"
"2014-06-03 00:00:00",272500,3,2,1410,7622,1,0,0,4,1410,0,1983,0,"14608 SE 195th Pl","Renton","WA 98058","USA"
"2014-05-07 00:00:00",599999,9,4.5,3830,6988,2.5,0,0,3,2450,1380,1938,2003,"8809 Densmore Ave N","Seattle","WA 98103","USA"
"2014-05-14 00:00:00",349950,5,3,2257,10117,1,0,0,3,1363,894,2005,0,"3755 S 168th St","SeaTac","WA 98188","USA"
"2014-06-16 00:00:00",554000,3,3.5,3380,108900,2,0,0,3,2700,680,1999,0,"19000 196th Ave SE","Renton","WA 98058","USA"
"2014-06-12 00:00:00",349950,3,1,1060,9525,1,0,0,3,1060,0,1966,1963,"17129 NE 95th St","Redmond","WA 98052","USA"
"2014-06-26 00:00:00",252750,4,1,1230,7410,1.5,0,0,3,1230,0,1944,0,"650 SW 137th St","Burien","WA 98166","USA"
"2014-05-16 00:00:00",619000,3,2.5,2720,6439,2,0,0,3,2720,0,2005,0,"6516 Denny Peak Dr SE","Snoqualmie","WA 98065","USA"
"2014-05-30 00:00:00",735000,4,3,2840,4120,1.5,0,0,4,2060,780,1931,0,"3849 Cascadia Ave S","Seattle","WA 98118","USA"
"2014-06-17 00:00:00",479500,3,2.75,2300,4637,2,0,0,3,2300,0,2008,0,"34623 SE Leitz St","Snoqualmie","WA 98065","USA"
"2014-05-20 00:00:00",120750,3,1.75,1140,9628,1,0,0,4,1140,0,1969,0,"34403 30th Ave SW","Federal Way","WA 98023","USA"
"2014-07-08 00:00:00",782000,4,3.5,5270,53428,2,0,0,3,3440,1830,2004,2003,"18603 E Spring Lake Dr SE","Renton","WA 98058","USA"
"2014-06-06 00:00:00",405000,2,2,1405,1073,2,0,0,3,1140,265,2007,0,"1111 29th Ave","Seattle","WA 98122","USA"
"2014-06-03 00:00:00",235000,3,2,1530,8700,1,0,0,4,1530,0,1970,0,"2925 Morris Ave S","Renton","WA 98055","USA"
"2014-06-11 00:00:00",455000,4,2.5,3170,10688,2,0,2,3,3170,0,2001,0,"1118 U St NW","Auburn","WA 98001","USA"
"2014-05-13 00:00:00",645000,3,2.5,1740,13750,2,0,0,4,1740,0,1975,0,"1673 Rosemont Blvd","Bellevue","WA 98008","USA"
"2014-06-16 00:00:00",340000,3,2.5,1212,1174,3,0,0,3,1212,0,2004,2003,"11716 16th Ave NE","Seattle","WA 98125","USA"
"2014-06-23 00:00:00",264000,3,1.75,1760,7482,1,0,0,4,1760,0,1966,0,"2712 SW 322nd Pl","Federal Way","WA 98023","USA"
"2014-07-01 00:00:00",450000,3,1.75,1400,13775,1,0,0,3,1400,0,1963,2008,"6217 NE 156th St","Kenmore","WA 98028","USA"
"2014-05-19 00:00:00",690000,3,2,1610,5100,1.5,0,0,5,1610,0,1940,0,"7341 20th Ave NE","Seattle","WA 98115","USA"
"2014-05-19 00:00:00",298450,5,3,2100,9752,1,0,0,3,1200,900,2007,0,"29801-29829 23rd Avenue South","Federal Way","WA 98003","USA"
"2014-05-22 00:00:00",180000,2,1,1400,4500,1,0,0,3,900,500,1922,2008,"309 Hardie Ave NW","Renton","WA 98057","USA"
"2014-06-05 00:00:00",292000,5,2.5,2490,7666,1,0,0,4,1490,1000,1989,0,"12621 SE 222nd Pl","Kent","WA 98031","USA"
"2014-06-27 00:00:00",279000,3,2.5,1630,7950,1,0,0,3,1320,310,1985,0,"20101 137th Ave SE","Kent","WA 98042","USA"
"2014-06-17 00:00:00",280000,4,2.25,1930,7207,1,0,0,4,1360,570,1988,0,"25011 119th Pl SE","Kent","WA 98030","USA"
"2014-05-16 00:00:00",205000,5,1.75,1730,5200,1,0,0,4,1050,680,1978,2000,"26607 190th Ave SE","Covington","WA 98042","USA"
"2014-06-30 00:00:00",427500,2,2,1090,934,3,0,0,3,1090,0,2008,0,"1700 Dexter Ave N","Seattle","WA 98109","USA"
"2014-07-02 00:00:00",305000,2,1,2160,12960,1,0,0,3,1360,800,1968,1997,"14717 58th Ave S","Tukwila","WA 98168","USA"
"2014-06-06 00:00:00",744000,3,2.5,2670,12187,2,0,0,3,2670,0,1986,0,"6935 142nd Ct NE","Redmond","WA 98052","USA"
"2014-05-07 00:00:00",275000,3,2.5,1600,7000,2,0,0,4,1600,0,1993,0,"21326 SE 277th Pl","Maple Valley","WA 98038","USA"
"2014-07-09 00:00:00",395000,2,1,930,6380,1,0,0,4,930,0,1940,2001,"548 NE 86th St","Seattle","WA 98115","USA"
"2014-05-12 00:00:00",1300000,4,3.25,2330,9687,2,0,3,3,2330,0,1918,0,"731 McGilvra Blvd E","Seattle","WA 98112","USA"
"2014-07-01 00:00:00",650000,4,2.5,3350,46748,2,0,0,3,3350,0,2004,2003,"28815 237th Pl SE","Black Diamond","WA 98010","USA"
"2014-06-13 00:00:00",459950,3,1.75,1850,6869,1,0,2,5,1100,750,1919,1934,"2221 SW 154th St","Burien","WA 98166","USA"
"2014-06-11 00:00:00",852600,4,2.5,3320,11901,2,0,0,5,2650,670,1977,0,"5334-5394 134th Ave SE","Bellevue","WA 98006","USA"
"2014-05-14 00:00:00",234000,4,2,1630,9010,1,0,0,4,1050,580,1975,0,"10872 SE 318th Pl","Auburn","WA 98092","USA"
"2014-05-08 00:00:00",349000,3,1.75,1590,9620,1,0,0,3,1590,0,1988,2000,"4924 SE 2nd Pl","Renton","WA 98059","USA"
"2014-06-30 00:00:00",235000,2,1,900,28800,1,0,0,1,900,0,1928,0,"8406 Railroad Ave","Snoqualmie","WA 98065","USA"
"2014-05-02 00:00:00",313000,3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,"18810 Densmore Ave N","Shoreline","WA 98133","USA"
"2014-07-02 00:00:00",265050,2,1.5,800,2119,2,0,0,3,800,0,2008,0,"5257 23rd Ave SW","Seattle","WA 98106","USA"
"2014-06-19 00:00:00",1325000,4,2.5,2440,3600,2.5,0,0,4,2440,0,1902,0,"400 W Highland Dr","Seattle","WA 98119","USA"
"2014-07-07 00:00:00",445000,2,2,1240,2500,2,0,0,3,1240,0,1985,0,"2847 NW 70th St","Seattle","WA 98117","USA"
"2014-07-10 00:00:00",880000,6,2.5,2640,3680,2,0,0,5,1760,880,1922,1956,"3008 38th Ave SW","Seattle","WA 98126","USA"
"2014-06-06 00:00:00",715000,3,2.5,2550,13458,2,0,0,3,2550,0,1990,2009,"4967 165th Pl SE","Bellevue","WA 98006","USA"
"2014-06-24 00:00:00",295000,2,1,650,5400,1,0,0,3,650,0,1950,2005,"1829 29th Ave","Seattle","WA 98122","USA"
"2014-05-16 00:00:00",375000,4,2.5,2790,7956,2,0,0,3,2790,0,2005,0,"26004 18th Ave S","Des Moines","WA 98198","USA"
"2014-06-02 00:00:00",465500,3,1.75,1890,7004,1,0,0,3,1290,600,1965,1993,"5047 43rd Ave S","Seattle","WA 98118","USA"
"2014-05-24 00:00:00",479000,3,1,1370,3000,1.5,0,0,3,1370,0,1924,2011,"611 N 46th St","Seattle","WA 98103","USA"
"2014-05-29 00:00:00",405000,5,1.75,1880,10000,1,0,0,3,960,920,1963,2008,"10414 NE 131st St","Kirkland","WA 98034","USA"
"2014-06-11 00:00:00",330000,3,2.5,2210,7557,2,0,0,3,2210,0,1989,0,"32739 47th Ave SW","Federal Way","WA 98023","USA"
"2014-06-03 00:00:00",193000,3,1.5,1180,9048,1,0,0,3,1180,0,1960,2012,"454 S 190th St","Burien","WA 98148","USA"
"2014-06-25 00:00:00",374500,3,2.25,1400,11400,2,0,0,3,1400,0,1984,0,"8133 NE 158th St","Kenmore","WA 98028","USA"
"2014-06-06 00:00:00",6e+05,4,2.5,2560,5593,2,0,0,3,2560,0,2001,0,"22801-22899 NE 100th Pl","Redmond","WA 98053","USA"
"2014-06-24 00:00:00",1010000,2,2,1460,9052,1,0,2,5,1460,0,1900,0,"1302 1st St","Kirkland","WA 98033","USA"
"2014-06-19 00:00:00",1240000,4,3.5,3820,13224,2,0,0,3,3280,540,1990,2009,"1037 106th Ave SE","Bellevue","WA 98004","USA"
"2014-06-16 00:00:00",418000,4,3,2360,6250,1,0,2,3,1460,900,1960,2012,"9957 Rainier Ave S","Seattle","WA 98118","USA"
"2014-05-30 00:00:00",1256500,4,2.5,3150,13700,2,0,0,4,3150,0,1966,0,"8551 SE 80th St","Mercer Island","WA 98040","USA"
"2014-05-14 00:00:00",766950,3,2.5,3030,30007,1.5,0,0,4,3030,0,1992,0,"15905 Saybrook Dr NE","Woodinville","WA 98077","USA"
"2014-06-03 00:00:00",550000,4,2.5,2170,9600,1,0,0,3,1460,710,1980,0,"8520 169th Ct NE","Redmond","WA 98052","USA"
"2014-06-11 00:00:00",7062500,5,4.5,10040,37325,2,1,2,3,7680,2360,1940,2001,"4442 95th Ave NE","Bellevue","WA 98004","USA"
"2014-06-06 00:00:00",650000,4,2.5,2840,9354,2,0,0,3,2840,0,1990,2009,"1920 224th Pl NE","Sammamish","WA 98074","USA"
"2014-06-12 00:00:00",310000,5,3,1880,5000,1,0,0,3,1100,780,1997,0,"6343 23rd Ave SW","Seattle","WA 98106","USA"
"2014-07-07 00:00:00",542500,3,2.5,2040,10086,2,0,0,3,2040,0,1987,2000,"8511 170th Ct NE","Redmond","WA 98052","USA"
"2014-06-10 00:00:00",490000,4,2.5,3020,8302,2,0,0,4,3020,0,1994,0,"26529 161st Ave SE","Covington","WA 98042","USA"
"2014-06-16 00:00:00",470000,3,1.5,1510,8000,1,0,0,4,1510,0,1956,0,"2559 155th Ave SE","Bellevue","WA 98007","USA"
"2014-06-11 00:00:00",381000,3,1.5,1460,11407,1,0,0,3,1460,0,1954,2005,"16044 33rd Ave NE","Lake Forest Park","WA 98155","USA"
"2014-06-10 00:00:00",403000,2,1,1100,3598,1,0,0,4,1100,0,1926,1993,"3242 15th Ave S","Seattle","WA 98144","USA"
"2014-05-06 00:00:00",5e+05,3,2.5,1480,1171,3,0,0,3,1480,0,2006,0,"135 25th Ave E","Seattle","WA 98112","USA"
"2014-07-08 00:00:00",380680.555556,4,2.5,2620,8331,2,0,0,3,2620,0,1991,0,"13602 SE 186th Pl","Renton","WA 98058","USA"
"2014-06-02 00:00:00",687000,4,3.25,4400,186846,2,0,0,4,4400,0,1993,0,"28808 SE Mud Mountain Rd","Enumclaw","WA 98022","USA"
"2014-05-16 00:00:00",254000,4,2,1510,4235,1,0,0,3,1510,0,1955,2005,"3015 S Graham St","Seattle","WA 98108","USA"
"2014-06-27 00:00:00",665000,2,1,1110,3200,1,0,0,3,1110,0,1925,2002,"1604 1st Ave W","Seattle","WA 98119","USA"
"2014-06-12 00:00:00",435500,3,3.5,1240,1666,2,0,0,3,1000,240,2008,0,"5922 44th Ave SW","Seattle","WA 98136","USA"
"2014-05-27 00:00:00",263900,3,2.5,1658,2700,2,0,0,3,1658,0,2014,0,"2150 S 262nd Ct","Des Moines","WA 98198","USA"
"2014-05-22 00:00:00",168000,2,2.5,1160,2174,2,0,0,3,1160,0,1998,2006,"8601-8633 26th Ave SW","Seattle","WA 98106","USA"
"2014-06-19 00:00:00",756000,4,2.25,2160,5600,1,0,0,5,1080,1080,1947,0,"2667 11th Ave W","Seattle","WA 98119","USA"
"2014-05-20 00:00:00",570000,2,1.75,1540,4025,1,0,0,4,1190,350,1908,0,"1715 46th Ave SW","Seattle","WA 98116","USA"
"2014-05-13 00:00:00",90000,2,1,790,2640,1,0,0,3,790,0,1973,2013,"14710 122nd Pl NE","Kirkland","WA 98034","USA"
"2014-05-21 00:00:00",249900,2,1,1140,5500,1,0,0,3,1140,0,1947,2012,"9412 24th Ave SW","Seattle","WA 98106","USA"
